nctId,ec_single,ner,relation
NCT02836548,Inclusion: Histological proof of advanced melanoma with BRAF V600 mutation;,"```json
[
    {
        ""entity"": ""Histological proof"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""advanced melanoma"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""BRAF V600 mutation"",
        ""category"": ""Observation""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Histological proof""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""advanced melanoma""
    },
    {
        ""id"": 3,
        ""type"": ""Observation"",
        ""name"": ""BRAF V600 mutation""
    }
]
```"
NCT02836548,"Inclusion: Progression of disease, according to RECIST 1.1, while on treatment with BRAFi, such as vemurafenib or dabrafenib; or a combination of BRAF - and MEK inhibitors, such as trametinib and dabrafenib;","```json
[
    {
        ""entity"": ""Progression of disease"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""RECIST 1.1"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""treatment with BRAFi"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""vemurafenib"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""dabrafenib"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""combination of BRAF - and MEK inhibitors"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""trametinib"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""dabrafenib"",
        ""category"": ""Drug/Substance""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Progression of disease""
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""RECIST 1.1""
    },
    {
        ""id"": 3,
        ""type"": ""Drug/Substance"",
        ""name"": ""treatment with BRAFi""
    },
    {
        ""id"": 4,
        ""type"": ""Drug/Substance"",
        ""name"": ""vemurafenib""
    },
    {
        ""id"": 5,
        ""type"": ""Drug/Substance"",
        ""name"": ""dabrafenib""
    },
    {
        ""id"": 6,
        ""type"": ""Drug/Substance"",
        ""name"": ""combination of BRAF - and MEK inhibitors""
    },
    {
        ""id"": 7,
        ""type"": ""Drug/Substance"",
        ""name"": ""trametinib""
    },
    {
        ""id"": 8,
        ""type"": ""Drug/Substance"",
        ""name"": ""dabrafenib""
    }
]
```"
NCT02836548,Inclusion: Previous documented response (partial or complete) for at least 4 weeks to treatment with BRAFi and/or BRAFi+MEKi;,"```json
[
    {
        ""entity"": ""Previous documented response (partial or complete)"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""at least 4 weeks"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""treatment with BRAFi and/or BRAFi+MEKi"",
        ""category"": ""Drug/Substance""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Previous documented response (partial or complete)""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""treatment with BRAFi and/or BRAFi+MEKi"",
        ""temporal"": {
            ""start"": {
                ""number"": 4,
                ""unit"": ""weeks""
            }
        }
    }
]
```"
NCT02836548,Inclusion: Start with vorinostat treatment within a maximum period of 1 week after discontinuation of BRAFi and/or BRAFi+MEKi.,"```json
[
    {
        ""entity"": ""vorinostat treatment"",
        ""category"": ""Drug/Substance""
    },
    {
        ""entity"": ""within a maximum period of 1 week"",
        ""category"": ""Temporal Constraints""
    },
    {
        ""entity"": ""discontinuation of BRAFi and/or BRAFi+MEKi"",
        ""category"": ""Qualifier/Modifier""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Drug/Substance"",
        ""name"": ""vorinostat treatment"",
        ""temporal"": {
            ""end"": {
                ""number"": 1,
                ""unit"": ""week""
            }
        }
    }
]
```"
NCT02836548,Inclusion: Age ≥ 18 years;,"```json
[
    {
        ""entity"": ""Age"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""≥ 18 years"",
        ""category"": ""Measurement""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Age"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 18,
                ""upper_bound"": null,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT02836548,Inclusion: Able and willing to give written informed consent;,"```json
[]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Type 2 diabetes mellitus""
    },
    {
        ""id"": 2,
        ""type"": ""Drug/Substance"",
        ""name"": ""Metformin""
    },
    {
        ""id"": 3,
        ""type"": ""Measurement"",
        ""name"": ""Serum creatinine""
    },
    {
        ""id"": 4,
        ""type"": ""Procedure/Device"",
        ""name"": ""Chemotherapy""
    },
    {
        ""id"": 5,
        ""type"": ""Observation"",
        ""name"": ""Smoking""
    },
    {
        ""id"": 6,
        ""type"": ""Observation"",
        ""name"": ""30 to 75 years old"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 30,
                ""upper_bound"": 75,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT02836548,"Inclusion: WHO performance status of 0, 1 or 2;","```json
[
    {
        ""entity"": ""WHO performance status"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""0, 1 or 2"",
        ""category"": ""Measurement""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""WHO performance status"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 0,
                ""upper_bound"": 2,
                ""unit"": """"
            }
        }
    }
]
```"
NCT02836548,Inclusion: Able and willing to undergo blood sampling for PK and PD analysis;,"```json
[
    {
        ""entity"": ""Able and willing"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""blood sampling"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""PK and PD analysis"",
        ""category"": ""Procedure/Device""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Able and willing""
    },
    {
        ""id"": 2,
        ""type"": ""Procedure/Device"",
        ""name"": ""blood sampling""
    },
    {
        ""id"": 3,
        ""type"": ""Procedure/Device"",
        ""name"": ""PK and PD analysis""
    }
]
```"
NCT02836548,Inclusion: Life expectancy ≥ 3 months allowing adequate follow up of toxicity evaluation and antitumor activity;,"```json
[
    {
        ""entity"": ""Life expectancy"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""≥ 3 months"",
        ""category"": ""Measurement""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Life expectancy"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 3,
                ""unit"": ""months""
            }
        }
    }
]
```"
NCT02836548,Inclusion: Evaluable disease according to RECIST 1.1;,"```json
[
    {
        ""entity"": ""Evaluable disease"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""RECIST 1.1"",
        ""category"": ""Observation""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Evaluable disease""
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""RECIST 1.1""
    }
]
```"
