nctId,healthyVolunteers,sex,genderBased,minimumAge,maximumAge,stdAges,samplingMethod,eligibilityCriteria_cleaned,studyPopulation_cleaned
NCT06533865,True,FEMALE,,14 Years,25 Years,"['CHILD', 'ADULT']",,inclusion criteria   for functional hypothalamic amenorrhea and controls     female  age 14 25 years  skeletally mature with bone age   14 years  only 2  of growth left    for women of reproductive age  agree to use an effective non hormonal contraceptive method or a progestin releasing intrauterine device  no evidence of systemic skeletal effects  for the study duration   negative βhcg  pregnancy test    tsh  prolactin  potassium  magnesium within the normal range   serum alt   3 times upper limit of normal  ldl   190 mg dl   egfr   30ml minute  additional inclusion criteria for functional hypothalamic amenorrhea     less than 3 menses in the preceding 6 months   bmd z score     1 0 at   1 skeletal site   dental check up within the past year  exclusion criteria   for functional hypothalamic amenorrhea and controls    disease other than fha known to affect bone  including untreated thyroid dysfunction  cushing s disease  renal failure  diabetes mellitus   use of bisphosphonates   use of other medications known to affect bone metabolism within 3 months of the study  other than calcium and vitamin d supplementation     substance abuse disorder  current smoker   history of malignancy or paget disease of bone   pregnant  planning to become pregnant within 12 months after the end of treatment and or breastfeeding  additional exclusion criteria for functional hypothalamic amenorrhea    cardiovascular  myocardial infarction or stroke  history of hypertension or use of anti hypertensive medications   immunodeficiency or taking immunosuppressive therapy   other conditions that can cause oligo amenorrhea such as pcos  premature ovarian insufficiency   dental  osteonecrosis of the jaw  onj  or risk factor for onj  such as invasive dental procedures  tooth extraction  dental implants  oral surgery in the past 3 months   poor oral hygiene  periodontal and or pre existing dental disease  and current use of corticosteroids   planned invasive dental procedure over the next 12 months  the duration of the study    known sensitivity or absolute contraindication to any of the products or components of the medications to be administered  romosozumab  zoledronic acid  transdermal estradiol  micronized progesterone  calcium or vitamin d supplements   additional exclusion criteria for normal weight healthy controls    bmd z score    2 5  who we will refer for evaluation,
NCT05410886,False,FEMALE,,18 Years,58 Years,['ADULT'],NON_PROBABILITY_SAMPLE,inclusion criteria     any woman 18 58 years of age   secondary amenorrhea defined by either menstrual cycle interval persistently exceeding 45 days and or those with period loss for 3 months or more  exclusion criteria     women who never had periods  primary amenorrhea,all women referred by their gp with amenorrhea to the endocrinology or reproductive medicine clinics at imperial college healthcare nhs trust hospitals and participating nhs organisations
NCT02697136,False,ALL,,18 Years,,"['ADULT', 'OLDER_ADULT']",,main inclusion criteria     male and female patients  aged 18 and above    apoa i    70 mg dl   symptomatic or asymptomatic cardiovascular disease   diagnosis of genetically confirmed hdl c deficiency due to defects in genes coding for abca1 and or apoa 1   stable doses of lipid lowering therapies for at least 6 weeks prior to baseline procedures  main exclusion criteria     females of childbearing potential   patients with lcat mutations   patients who experienced recent cardiovascular or cerebrovascular events   hypertriglyceridemia    500 mg dl    severe anemia  hgb    10 g dl    uncontrolled diabetes  hba1c   10     congestive heart failure  nyha class ii or higher    contraindication for mri scanning  e g   implanted metal objects  claustrophobia,
NCT00453219,True,FEMALE,,18 Years,35 Years,['ADULT'],NON_PROBABILITY_SAMPLE,inclusion criteria     inclusion criteria for participation are a gynecological age  age since menarche     5 and    25 years  and chronological age    18 years  within 90 110  of ideal body weight as determined by the 1983 metropolitan height and weight table for women  and exercise    10 h wk and run    10 mi wk  day awake night asleep schedule    women in the fha and pcos groups have to fulfill the diagnostic criteria of fha or pcos and to have all other causes of amenorrhea and anovulation excluded   exclusion criteria     exclusion criteria are smoking  medications  including psychotropic or illicit drugs  medical  neurological  or ophthalmologic disease except acuity problems  a weight loss or gain of    10 lb within a year preceding or since the onset of amenorrhea  a major axis i disorder other than depression  parturition in the last 12 months and or lactating in the last 6 months,women ages 18 35
NCT00870350,True,ALL,,14 Years,15 Years,['CHILD'],,inclusion criteria     healthy subject   14 15 years old   eligible for their school leaving booster for dtp   received a complete primary vaccination with a 5 component acellular pertussis vaccine  dt5ap ipv hib  at 3  5 and 12 months of age and vaccinated with a 5 component acellular pertussis vaccine  td5ap ipv or td5ap   ipv  as a booster at 5½ years of age   informed consent form signed by the subject and parent s  legal representative   subject understand and comply with the study procedures  i e  able to read and write swedish    female must provide an agreement that they are either sexually continent or practice adequate contraceptive methods  intra uterine contraceptive device  iucd   hormonal contraceptives  condoms or other adequate barrier contraception    exclusion criteria     acute febrile illness or axillary temperature  38 0 c at the time of vaccination   receipt of immunoglobulin within the previous 3 months  immunosuppression  e g evidence of impaired cell mediated immunity  receipt of immunosuppressant drugs within the previous 3 months or receipt of systemic corticosteroids given daily or on alternate days at  20 mg day prednisone equivalent during   14 days within the past 30 days    receipt of a non study vaccine in the past 30 days   evolving encephalopathy not attributable to another identifiable cause within 7 days of administration of a previous dose of any vaccine   booster vaccination with tetanus  low dose diphtheria and acellular pertussis vaccine since the booster vaccination at 5½ years of age   previous clinical or bacteriological diagnosis of diphtheria  tetanus or pertussis   hypersensitivity to any component of any of the study vaccines   current participation in any other clinical trial or participation in any clinical trial in the previous month   inability to adhere to the protocol  including plans to move from the area   severe chronic disease   family history of congenital or hereditary immunodeficiency   any sever thrombocytopenia or any other coagulation disorder that would contraindicate intramuscular injection   any medical condition  which in the opinion of the investigator  might interfere with the evaluation of the study objectives,
NCT00456274,False,FEMALE,,16 Years,45 Years,"['CHILD', 'ADULT']",,inclusion criteria     healthy women between the ages of 16 45 years   negative pregnancy test   on no gonadal steroid preparations for at least 3 months  with the exception of the idiopathic hypogonadotropic hypogonadism  ihh  group  they should be off gonadal steroid for at least 4 weeks  the following test will be performed if they had not been done in the last 2 months    normal blood count   normal thyroid function test  exclusion criteria     hemoglobin levels less than 11 gm dl   positive pregnancy test   abnormal thyroid function   abnormal mri  ihh,
NCT01185782,False,FEMALE,,20 Years,39 Years,['ADULT'],,inclusion criteria     women aged 20 to 39 years  inclusive  who hope to bear children   subjects who failed to achieve ovulation or pregnancy despite 2 cycles or more of anti estrogen therapies  clomiphene citrate  cyclofenil  etc     subjects who exhibited withdrawal bleeding in a progesterone test  includes spontaneous menstruation in subjects with anovulatory cycles     subjects having a body mass index between 17 0 and 28 0 at the time of baseline tests   subjects who voluntarily consented in writing to participate in the clinical trial  exclusion criteria     subjects with ovarian tumors   subjects with ovarian enlargement not due to pcos   subjects with genitourinary hemorrhage of unknown cause   subjects who were or may be pregnant  or who were lactating   subjects with history of allergic reaction or hypersensitivity to gonadotropin   subjects with dysfunction of heart  lungs  kidneys  or cardiovascular systems of grade 2 or higher  in compliance with the pharmaceutical and medical safety bureau notification yakuan no  80   issued 29 june 1992      subjects with serum progesterone  p4  level   5 ng ml in baseline tests   subjects with malignant tumors   subjects with uterine amenorrhea   subjects with elevated levels of serum gonadotropin due to premature ovarian failure  fsh   20 miu ml    subjects who were infertile due to known adrenal or thyroid dysfunction   subjects who were diagnosed as having hyperprolactinemia   subjects who had been documented or suspected of having intracranial lesions  e g   pituitary tumors    infertile subjects involving gynecological factors other than amenorrhea i or anovulatory cycles  and for whom ovulation induction therapy was found to be contraindicated   subjects who had participated in another clinical study within 6 months prior to start of the imp administration   subjects who had been administered sj 0021 in the past   subjects whose participation in this clinical trial was otherwise deemed inappropriate by the investigator or sub investigator,
NCT06471582,True,FEMALE,,18 Years,40 Years,['ADULT'],,inclusion criteria     participates in structured running or cycling exercise for at least 30 minutes on 3 or more days per week   accustomed to exercising for 90 minutes or more   has regular periods every 21 35 days   have not taken hormonal contraceptives for at least the past 6 months   is not currently or trying to become pregnant or breastfeeding  and has not been pregnant or breastfeeding in the past 12 months   does not currently have a diagnosis of a major menstrual cycle disorder  i e   amenorrhea  polycystic ovary syndrome   pcos    endometriosis  ovarian cancer  ovarian insufficiency  uterine or endometrial cancer    does not currently have a metabolic disease  i e   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes  congenital adrenal hyperplasia    does not currently have a major cardiovascular or respiratory disease  exclusion criteria     miss more than 7 consecutive days of aerobic activity  i e   running  cycling  cross training    demonstrate clinical low energy availability as defined as energy availability   30 kcal kg fat free mass   report menstrual cycle lengths   21 or   35 days in the first 2 months of at home monitoring   do not demonstrate an anticipated rise in luteinizing hormone and progesterone in the first 2 months of at home monitoring   begin taking a hormonal contraceptive   become pregnant   are diagnosed with a menstrual cycle disorder  i e   amenorrhea  polycystic ovary syndrome   pcos    endometriosis  ovarian cancer  ovarian insufficiency  uterine  or endometrial cancer    are diagnosed with a metabolic disease  i e   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes    are diagnosed with a major cardiovascular or respiratory disease   are unable to follow instructions for any of the procedures,
NCT05633966,False,FEMALE,,18 Years,45 Years,['ADULT'],,inclusion criteria     acquired hypogonadotropic hypogonadism  hypothalamic amenorrhea  aka functional hypothalamic amenorrhea       confirmed diagnosis by medical provider supported by low sex steroids in the setting of low or inappropriately normal gonadotropins     normal blood pressure  systolic bp    140 mm hg  diastolic    90 mm hg    laboratory studies       hemoglobin no less than 0 5 g dl below the lower limit of the reference range for normal women     negative serum hcg pregnancy test at screening  additional urine pregnancy test will be conducted prior to drug administration    not using hormonal replacement or willing to complete an appropriate washout for that particular medication and method of administration   no current or recent use of a medication that  in the opinion of a study investigator  can modulate the reproductive axis or willing to complete an appropriate washout for that particular medication and method of administration  exclusion criteria     any condition  medical  mental  or behavioral  that  in the opinion of a study investigator  would likely interfere with participation in completion of the protocol   excessive alcohol consumption    10 drinks week  and or active use of illicit drugs      any active use of marijuana will be evaluated by a study medical professional to determine if it may impact study participation  individuals who regularly use marijuana may be asked to washout as referenced in the medication washout section below   pregnant or trying to become pregnant   breast feeding   history of bilateral oophorectomy  ovaries were removed,
NCT01674426,False,FEMALE,,18 Years,35 Years,['ADULT'],,inclusion criteria     women with functional hypothalamic amenorrhea   day awake   night asleep schedule  exclusion criteria     eating disorders  depression  excessive exercise or any other cause of amenorrhea and anovulation other than functional hypothalamic amenorrhea   weight loss greater than 10 pounds when amenorrhea developed   running more than 10 miles per week or exercising more than 10 hours per week,
NCT03018366,True,FEMALE,,18 Years,60 Years,['ADULT'],,inclusion criteria   for premenopausal hypo e and normal control women  inclusions include     premenopausal currently not on hormone therapy    english speaking  for the purposes of complete psychosocial assessment    able to give informed consent   a gynecological age  age since menarche     10 and    25 years  and chronological age    18 years   within 90 110  of ideal body weight as determined by the 1983 metropolitan height and weight table for women   all participants with hypothalamic amenorrhea will be diagnosed based on exclusion of other etiologies for their amenorrhea  including pregnancy  thyroid dysfunction  hyperprolactinemia  premature ovarian insufficiency  and polycystic ovary disease  for recently menopausal women inclusions include     follicle stimulating hormones  fsh    30 and 12 months of amenorrhea  within 3 years of final menstrual period with natural menopausal not on hormone therapy   english speaking   able to give informed consent   within 90 110  of ideal body weight  exclusion criteria   for premenopausal hypo e and normal control women exclusions include     smoking   hypertension   hyperlipidemia   diabetes   medications including psychotropic or illicit drugs  medical  neurological   ophthalmologic disease except acuity problems   major axis i disorder other than depression   pregnancy in the last 12 months and or lactating in the last 6 months   current use of hormone contraceptive or any estrogen or progestin therapy  for hypoe women  exclusion criteria include     allergy to adhesive or tape  for recently menopausal women exclusions also include     previous or current use of hormone therapy  estrogen or progestin   surgical or chemotherapy induced menopause   premature ovarian failure,
NCT02984696,False,FEMALE,,18 Years,35 Years,['ADULT'],,inclusion criteria     hypotalamic amenorrhea  exclusion criteria     diabetes mellitus  or impaired glucose tolerance as determined by a standard 75 gr oral glucose tolerance test    hypertension   significant liver or renal impairment   other hormonal dysfunction  hypothalamic  pituitary  pcos  thiroidal or adrenal    neoplasms,
NCT02871986,False,ALL,,10 Years,30 Years,"['CHILD', 'ADULT']",PROBABILITY_SAMPLE,inclusion criteria   1  have a diagnosis of hypogonadism  turner s syndrome  hypogonadotrophic hypogonadism  primary ovarian insufficiency  hypopituitarism  hypothalamic amenorrhoea  transgender  2    10 years of age 3  oestrogen naïve i e  no prior commencement of oestrogen treatment 4  breast tanner stage   than 2  exclusion criteria   1  previous oncology treatment 2  primary amenorrhoea secondary to chronic medical comorbidity 3  pcos diagnosis,individuals with hypogonadism requiring pubertal induction
NCT05448924,False,FEMALE,,,,"['CHILD', 'ADULT', 'OLDER_ADULT']",NON_PROBABILITY_SAMPLE,inclusion criteria     a single female participant with amenorrhea  exclusion criteria     the study only included the above subject,this 14 year old female came to the gynaecology clinic with a chief complaint of amenorrhea
NCT00556036,True,FEMALE,,18 Years,45 Years,['ADULT'],NON_PROBABILITY_SAMPLE,inclusion criteria     amenorrhea for at least three months  unless participating as healthy control    normal tsh or free thyroxine  free t4    exclusion criteria     a condition known to affect bone metabolism  including cushing s syndrome or renal failure  with the exception of bone fracture    any medication known to affect bone metabolism within 3 months of the study  including estrogen and progestins  patients receiving depot medroxyprogesterone  depo provera  will be excluded from participating for 6 months after their last injection    pregnant and or breastfeeding    diabetes mellitus    active substance abuse  including alcohol,community sample and referrals by specialists
NCT02858336,False,FEMALE,,18 Years,28 Years,['ADULT'],,inclusion criteria   participants will be enrolled without regard to race or ethnicity  each potential participant must meet all of the following inclusion criteria in order to be eligible to enroll in the study   1  female 2  between 18 and 28 years of age  inclusive  3  reported menarche between the ages of 11 and 14 years 4  gynecological age of less than or equal to 14 years 5  a history of self reported regular menstrual cycles when not on contraceptive medication of between 25 and 35 days  inclusive  at prescreen and knowledge of date of onset of menses before the screening visit 6  a bmi of 18 5 to 27 kg  summation m 2  and a weight     93 lbs  7  agrees to use barrier contraception method for the duration of the study and the follow up period 8  agrees to abstain from alcohol consumption during both 5 day diet exercise study interventions 9  agrees to abstain from donating blood during the study and within 30 days of completing the study 10  agrees to abstain from biotin supplements for the duration of the study 11  is willing and able to fulfill the requirements of the protocol and to provide informed consent 12  able to speak and read english 13  lives within 50 miles of the clinical research unit  exclusion criteria   a potential participant meeting any of the following exclusion criteria is not eligible to enroll in the study   1  currently lactating or pregnant or planning on becoming pregnant for the duration of the study 2  has ever given birth 3  history in the past 3 months of dieting or weight loss amounting to greater than 2 kg 4     4 hours per week of aerobic exercise for the past 3 months 5  has initiated training for an athletic sport or event in the past 3 months that  in the opinion of the investigator  may interfere with the results of the study 6  currently using hormone based contraception  including those administered orally  vaginally  via injection  sub dermally  or transdermally 7  current use of medications or supplements that may interfere with the results of the study  including      i steroids     ii hormone based contraception     iii sleeping pills     iv homeopathic substances  e g  chinese herbs  protein or other powders  and other the counter extracts      v stimulants  e g  ritalin      vi antidepressants or anti epileptic medications or centrally acting anti hypertensive medications 8  current use of recreational drugs  alcohol intake will be monitored and excluded during the two intervention periods  9  unable to consume food containing dairy or nuts 10  has currently or has a history of any of the following  autoimmune  heart  liver  renal disease  diabetes  or another health condition deemed by the pi to be a contraindication to study participation  history of thyroid disorder is permissible if the patient is biochemically euthyroid on replacement   additional eligibility criteria to be met prior to start of intervention s    criteria 1 habitual energy intake between 35 55 kcal kg lbm  day  criteria 2 vo2max less than or equal to 40 ml kg min with the option to increase this at the discretion of the pi  depending on the current and past exercise level of the participant   criteria 3 hemoglobin  prolactin and tsh within normal female range for testing laboratory   criteria 4 ovulation confirmed in the cycle before each study intervention by self reported positive urine test  ultrasound and or progesterone blood levels,
NCT05967819,True,FEMALE,,18 Years,35 Years,['ADULT'],,inclusion criteria     participates in structured running or cycling exercise for at least 30 minutes on 4 days per week or more   have regular periods every 21 to 35 days   have not used hormonal contraceptives for at least the past 6 months   are not currently or trying to become pregnant or are breastfeeding  and have not been pregnant or breastfeeding for the past 12 months   have never been diagnosed with a menstrual cycle disorder  e g   menorrhagia  amenorrhea  dysmenorrhea  polycystic ovary syndrome   pcos    endometriosis  premenstrual dysphoric disorder   pmdd    menstrual migraines  ovarian cancer  ovarian insufficiency  uterine or endometrial cancer    have never been diagnosed with a metabolic disease  e g   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes   exclusion criteria     missing    4 consecutive days of aerobic exercise  i e   running  cycling  cross training  if assigned to the exercise intervention groups   they indicate they  could not participate at all due to a health problem  or have had to modify their exercise training  felt their injury  illness  or other health problem has affected their exercise performance  or experienced symptoms  health complaints greater than  to a minor extent  on the oslo sports trauma research center questionnaire  exercise training intervention group    demonstrate clinical low energy availability as defined as energy availability   30 kcal kg fat free mass in the first two months of at home monitoring   report menstrual cycle lengths   21 days or   35 days in the first two months of at home monitoring   do not demonstrate an anticipated rise in progesterone levels during the latter half of their cycle and luteinizing hormone levels at mid cycle compared to tests taken during the first few days after menses in the first two months of at home monitoring   begin taking a hormonal contraceptive   become pregnant   are diagnosed with a menstrual cycle disorder  e g   menorrhagia  amenorrhea  dysmenorrhea  polycystic ovary syndrome   pcos    endometriosis  premenstrual dysphoric disorder   pmdd    menstrual migraines  ovarian cancer  ovarian insufficiency  uterine or endometrial cancer    are diagnosed with a metabolic disease  e g   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes   10  are diagnosed with a major cardiovascular disease  respiratory disease  or musculoskeletal injury   are unable to follow instructions for any of the procedures,
NCT01165619,True,ALL,,18 Years,40 Years,['ADULT'],PROBABILITY_SAMPLE,inclusion criteria     over the age of 18 for men   between the ages of 18 and 40 for women   for reproductive disorder population  current or previous diagnosis of idiopathic hypogonadotropic hypogonadism or hypothalamic amenorrhea  exclusion criteria     chronic disease  hypertension  high cholesterol  diabetes  asthma  etc    polycystic ovarian syndrome for women   prescription medication use  other than allergy meds  for control populations   irregular menstrual cycles for healthy female control population  cycle length longer than 35 days or shorter than 25 days  cycle length varies by more than 5 days  less than 9 periods per year,the reproductive disorder populations will be recruited from the reproductive endocrine clinic at the mass general hospital  the control populations will be recruited from boston and surrounding communities
NCT00130117,True,FEMALE,,18 Years,35 Years,['ADULT'],,inclusion criteria for ha subjects    hypothalamic amenorrhea of at least 6 months duration with low or normal lh and fsh  e g  due to strenuous exercise  running   20 miles per week or equivalent  or low weight   can be secondary ha or primary ha with some pubertal development and normal screening labs   age 18 35 years old   body weight within     15  of ideal body weight and stable for 6 months  no change    5 lbs    baseline leptin   5 ng ml  except for the cognitive sub study baseline visit where baseline leptin will be greater than 5ng ml   inclusion criteria for eumenorrheic controls for reward sub study    normal menstrual cycles  between 25 and 35 days    age 18 35   body weight within     15  of ideal body weight and stable 6 months  no change    5 lbs    baseline leptin   5 ng ml  exclusion criteria     we will exclude subjects with    significant medical history that may affect the concentrations of the hormones to studied or ability to participate in the study   renal or hepatic disease  creatinine    1 4  ast alt    2x upper limit of normal    diagnosed diabetes mellitus   myocardial ischemia   malignancy  other than basal cell carcinoma of the skin or in situ carcinoma of the cervix    malabsorption   alcoholism  drug abuse  or smoking   active eating disorder   depression or other psychiatric disease   anemia  hb10 gm dl on 2 occasions    conditions that are contraindicated for oral contraceptive use    thrombophlebitis or thromboembolic disorders   a past history of deep vein thrombophlebitis or thromboembolic disorders   cerebral vascular or coronary artery disease   known or suspected carcinoma of the breast   carcinoma of the endometrium or other known or suspected estrogen dependent neoplasia   undiagnosed abnormal genital bleeding   hepatic adenomas or carcinomas   cholestatic jaundice of pregnancy or jaundice with prior ocp use   other endocrine causes of amenorrhea  e g    hyperprolactinemia   hypothyroidism or hyperthyroidism   cushing s syndrome   congenital adrenal hyperplasia  elevated 17 oh progesterone    polycystic ovarian syndrome  elevated androgens or lh fsh ratio   1 5    primary ovarian failure  elevated fsh    on medications known to affect the hormones to be measured such as   glucocorticoids   anti seizure medications   thyroid hormones   estrogen  must be off at least 3 months prior to participating in the study    a known history of anaphylaxis or anaphylactoid like reactions  or a known hypersensitivity to e  coli derived proteins   breast feeding  pregnant  or wanting to become pregnant during the next 6 months    we will screen for these conditions through a detailed history and systems review  physical examination  laboratory evaluation  as described above in screening methods   and ekg    in the reward sub study subjects will be asked to fill out a standard bidmc mri safety screening form prior to entering the magnet,
NCT00889512,False,FEMALE,,18 Years,38 Years,['ADULT'],,inclusion criteria   1  30 women under 38 years old at time of signing informed consent form  2  evidence of hypothalamic amenorrhea  irregular menses and fsh and lh   5 miu ml   uncorrected hyperprolactinemia  prolactin levels 10  above the upper limit of normal  or iatrogenic hypothalamic hypogonadism secondary to gnrha suppression  3  in good general health off of current medications which may confound response to study medications except gnrha  lupron depot   4  desire to seek pregnancy actively during the study period  5  a normal uterine cavity must have been confirmed by either hysteroscopy or hydrosonogram within two years of entering the study  6  a semen analysis on the male partner deemed adequate for ivf by the attending physician within the past year or donor sperm available for insemination  7  only one treatment cycle per patient will be studied   exclusion criteria   1  uncorrected thyroid disease  2  heart disease  new york heart association class ii or higher   3  a history of  or suspected cervical  endometrial  or breast cancer  a normal pap smear result within the last 24 months will be required  4  enrolled into other studies that require medications  limit sex  or otherwise prevent compliance with the protocol at the same time  5  to take other medications known to affect reproduction,
NCT00383656,False,FEMALE,,16 Years,45 Years,"['CHILD', 'ADULT']",,inclusion criteria     women and minors with gnrh deficiency or idiopathic hypogonadotropic hypogonadism  ihh  will have a history of primary amenorrhea  no evidence of abnormalities in other hormonal axes  a deficient pattern of luteinizing hormone  lh  and or free alpha subunit  fas  secretion on baseline sampling and a normal cranial ct or mri    women and minors with hypothalamic amenorrhea will have a history of secondary amenorrhea of at least six months duration with low or normal gonadotropins or a history of primary amenorrhea in the presence of pulsatile patterns of lh or fas on baseline frequent sampling studies  bmi    18 kg m2 and normal testosterone and prolactin levels    women and minors with acquired hypogonadotropic hypogonadism will have a history of hypothalamic or pituitary tumor treated with surgery alone or in combination with radiotherapy or a history of hypothalamic irradiation as adjunctive therapy for leukemia or craniofacial neoplasms  there must be a minimum of 2 years since irradiation and no gonadal radiation  for the previous two months  patients will be euthyroid on thyroid replacement if needed  normoprolactinemic on dopamine agonists if needed  and receiving physiologic glucocorticoid replacement if needed   subjects will be otherwise healthy women and female minors between the ages of 16 and 45 years who have not been on gonadal steroid preparations for at least 1 month  subjects will have normal complete blood count  hemoglobin greater than or equal to 11 5gm dl  and thyroid function tests and a negative pregnancy test   exclusion criteria   mitral valve prolapse with ballooning of the mitral valve will be cause for exclusion of the patient from intravenous gnrh treatment,
NCT03841981,True,FEMALE,,18 Years,40 Years,['ADULT'],NON_PROBABILITY_SAMPLE,inclusion criteria  group i    body mass index between 18 5 and 25 0 kg m2    group 1 ovulatory dysfunction   world health organization  who  classification      normal low gonadotrophin levels   follicle stimulating hormone  fsh  and luteinizing  lh     10 iu l   and low estradiol     50 pg ml     moderate vigorous intensity physical activity     5 hours per week  plus low energy availability     30 kcal per kg of lean mass     exclusion of secondary etiologies   informed consent signed   group ii     polycystic ovary syndrome phenotype i  ii and iii   national institute of health  nih  2012   with hyperandrogenemia  http   prevention nih gov workshops 2012 resources aspx     body mass index between 18 5 and 40 0 kg m2    informed consent signed   group iii     polycystic ovary syndrome phenotype iv  nih 2012   http   prevention nih gov workshops 2012 resources aspx     body mass index between 18 5 and 40 0 kg m2    informed consent signed   group iv     body mass index between 18 5 and 25 0 kg m2    regular menses    normal gonadotropins and estradiol levels at follicular phase    moderate vigorous intensity physical activity     5 hours per week  with normal energy availability     30 kcal per kg of lean mass     informed consent signed   group v     no signs or symptoms of hyperandrogenism    no exercise or mild intensity physical activity    regular menses    body mass index between 18 5 and 40 0 kg m2    informed consent signed   exclusion criteria  groups i v     oral drugs interfering with ovulation  glucocorticoids  antipsychotics  antidepressants  contraceptives  sex steroids and or opioids  for the previous 6 months to study inclusion    current pregnancy or lactation  or during the previous 6 months to study inclusion    asherman s syndrome or outflow tract disorders    current smoking or alcohol intake    40 g per day    previous diagnosis of glucose intolerance  hypertension  dyslipidemia  known heart or lung diseases  kidney disease  liver disease  celiac disease or any other malabsorptive condition  chronic inflammatory disease or malignancy,patients with exercise associated functional amenorrhea and polycystic ovary syndrome will be consecutively recruited from our reproductive endocrinolgy clinic  those premenopausal adult women are referred to clinic because of symptoms of functional androgen excess such as hirsutism or menstrual dysfunction   the control group  groups iv and v  will include healthy female volunteers recruited   contemporarily with the recruitment of patients   from the hospital s staff and overweight or obese women seeking medical attention in our department
