nctId,ec_single,ner,relation
NCT05410886,Inclusion: Any woman 18-58 years of age,"```json
[
    {
        ""entity"": ""woman"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""18-58 years"",
        ""category"": ""Measurement""
    },
    {
        ""entity"": ""age"",
        ""category"": ""Observation""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""woman""
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""age"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 18,
                ""upper_bound"": 58,
                ""unit"": ""years""
            }
        }
    }
]
```"
NCT05410886,Inclusion: Secondary amenorrhea defined by either menstrual cycle interval persistently exceeding 45 days and/or those with period loss for 3 months or more,"```json
[
    {
        ""entity"": ""Secondary amenorrhea"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""menstrual cycle interval persistently exceeding 45 days"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""period loss for 3 months or more"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""Secondary amenorrhea""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""menstrual cycle interval persistently exceeding 45 days""
    },
    {
        ""id"": 3,
        ""type"": ""Condition"",
        ""name"": ""period loss for 3 months or more""
    }
]
```"
NCT05410886,Exclusion: Women who never had periods (primary amenorrhea).,"```json
[
    {
        ""entity"": ""Women"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""never had periods"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""primary amenorrhea"",
        ""category"": ""Condition""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Women""
    },
    {
        ""id"": 2,
        ""type"": ""Condition"",
        ""name"": ""never had periods""
    },
    {
        ""id"": 3,
        ""type"": ""Condition"",
        ""name"": ""primary amenorrhea""
    }
]
```"
NCT06533865,"Inclusion: Female, age 14-25 years, skeletally mature with bone age ≥ 14 years (only 2% of growth left)","```json
[
    {
        ""entity"": ""Female"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""age 14-25 years"",
        ""category"": ""Measurement""
    },
    {
        ""entity"": ""skeletally mature"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""bone age ≥ 14 years"",
        ""category"": ""Measurement""
    },
    {
        ""entity"": ""only 2% of growth left"",
        ""category"": ""Measurement""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Female""
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""age"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 14,
                ""upper_bound"": 25,
                ""unit"": ""years""
            }
        }
    },
    {
        ""id"": 3,
        ""type"": ""Condition"",
        ""name"": ""skeletally mature""
    },
    {
        ""id"": 4,
        ""type"": ""Observation"",
        ""name"": ""bone age"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 14,
                ""unit"": ""years""
            }
        }
    },
    {
        ""id"": 5,
        ""type"": ""Observation"",
        ""name"": ""growth left"",
        ""value"": {
            ""range"": {
                ""upper_bound"": 2,
                ""unit"": ""%""
            }
        }
    }
]
```"
NCT06533865,"Inclusion: For women of reproductive age, agree to use an effective non-hormonal contraceptive method or a progestin releasing intrauterine device (no evidence of systemic skeletal effects) for the study duration","```json
[
    {
        ""entity"": ""women of reproductive age"",
        ""category"": ""Condition""
    },
    {
        ""entity"": ""effective non-hormonal contraceptive method"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""progestin releasing intrauterine device"",
        ""category"": ""Procedure/Device""
    },
    {
        ""entity"": ""no evidence of systemic skeletal effects"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""study duration"",
        ""category"": ""Temporal Constraints""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Condition"",
        ""name"": ""women of reproductive age""
    },
    {
        ""id"": 2,
        ""type"": ""Procedure/Device"",
        ""name"": ""effective non-hormonal contraceptive method""
    },
    {
        ""id"": 3,
        ""type"": ""Procedure/Device"",
        ""name"": ""progestin releasing intrauterine device""
    },
    {
        ""id"": 4,
        ""type"": ""Observation"",
        ""name"": ""no evidence of systemic skeletal effects""
    }
]
```"
NCT06533865,Inclusion: Negative βHCG (pregnancy test),"```json
[
    {
        ""entity"": ""Negative"",
        ""category"": ""Qualifiers/Modifiers""
    },
    {
        ""entity"": ""βHCG (pregnancy test)"",
        ""category"": ""Observation""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""βHCG (pregnancy test)"",
        ""value"": {
            ""qualitative"": ""Negative""
        }
    }
]
```"
NCT06533865,"Inclusion: TSH, prolactin, potassium, magnesium within the normal range","```json
[
    {
        ""entity"": ""TSH"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""prolactin"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""potassium"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""magnesium"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""within the normal range"",
        ""category"": ""Qualifiers/Modifiers""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""TSH"",
        ""value"": {
            ""qualitative"": ""within the normal range""
        }
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""prolactin"",
        ""value"": {
            ""qualitative"": ""within the normal range""
        }
    },
    {
        ""id"": 3,
        ""type"": ""Observation"",
        ""name"": ""potassium"",
        ""value"": {
            ""qualitative"": ""within the normal range""
        }
    },
    {
        ""id"": 4,
        ""type"": ""Observation"",
        ""name"": ""magnesium"",
        ""value"": {
            ""qualitative"": ""within the normal range""
        }
    }
]
```"
NCT06533865,"Inclusion: Serum ALT ≤ 3 times upper limit of normal, LDL ≤ 190 mg/dl","```json
[
    {
        ""entity"": ""Serum ALT"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""≤ 3 times upper limit of normal"",
        ""category"": ""Measurement""
    },
    {
        ""entity"": ""LDL"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""≤ 190 mg/dl"",
        ""category"": ""Measurement""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Serum ALT"",
        ""value"": {
            ""range"": {
                ""upper_bound"": 3.0,
                ""unit"": ""times upper limit of normal""
            }
        }
    },
    {
        ""id"": 2,
        ""type"": ""Observation"",
        ""name"": ""LDL"",
        ""value"": {
            ""range"": {
                ""upper_bound"": 190.0,
                ""unit"": ""mg/dl""
            }
        }
    }
]
```"
NCT06533865,Inclusion: eGFR ≥ 30ml/minute,"```json
[
    {
        ""entity"": ""eGFR"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""≥ 30ml/minute"",
        ""category"": ""Measurement""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""eGFR"",
        ""value"": {
            ""range"": {
                ""lower_bound"": 30.0,
                ""upper_bound"": null,
                ""unit"": ""ml/minute""
            }
        }
    }
]
```"
NCT06533865,Inclusion: Less than 3 menses in the preceding 6 months,"```json
[
    {
        ""entity"": ""Less than 3 menses"",
        ""category"": ""Observation""
    },
    {
        ""entity"": ""in the preceding 6 months"",
        ""category"": ""Temporal Constraints""
    }
]
```","```json
[
    {
        ""id"": 1,
        ""type"": ""Observation"",
        ""name"": ""Less than 3 menses"",
        ""occurrence"": {
            ""operator"": ""at most"",
            ""number"": 3
        },
        ""temporal"": {
            ""start"": {
                ""number"": 6,
                ""unit"": ""months""
            },
            ""end"": {
                ""number"": 0,
                ""unit"": ""months""
            },
            ""reference_event"": 1
        }
    }
]
```"
